mmsi,first_seen,last_seen,n_positions,n_gaps,n_speed_anomalies,shipname,ship_type,imo,callsign,to_bow,to_stern,to_port,to_starboard,draught,destination
000305036,2022-09-08 12:33:32.629463,2022-09-08 14:56:52.628327,131,1,0,KAIE,0.0,9504102.0,V2QY7,108.0,25.0,8.0,8.0,8.0,RULED
084934656,2022-09-08 14:12:13.233138,2022-09-08 14:12:13.233138,1,0,0,UNKNOWN VESSEL,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,UNKNOWN
209515000,2022-09-08 00:23:02.735834,2022-09-08 02:15:20.602651,858,0,0,CONTAINERSHIPS POLAR,0.0,9814002.0,5BEG5,152.0,18.0,13.0,14.0,7.4,FIHEL VIA NOK
209917000,2022-09-08 10:46:37.669010,2022-09-08 14:36:17.562400,1178,0,0,WILMA,0.0,9462744.0,5BLS5,81.0,8.0,6.0,7.0,5.7,DKFDV
209968000,2022-09-08 00:00:24.309052,2022-09-08 23:57:24.282211,459,0,0,RIX STREAM,0.0,9111125.0,5BML5,67.0,15.0,6.0,6.0,3.1,TALLINN
210046000,2022-09-08 00:00:34.922162,2022-09-08 23:57:34.015617,462,0,0,RIX LAGOON,0.0,9192624.0,5BTE5,85.0,15.0,6.0,7.0,3.8,EE TLL
210146000,2022-09-08 18:08:23.749047,2022-09-08 18:15:12.815888,6,0,0,STENA PRO PATRIA,0.0,9899727.0,5BRX5,148.0,38.0,21.0,11.0,11.3,LTKLJ>EEPLA
210853000,2022-09-08 09:26:23.269162,2022-09-08 11:02:23.242342,79,1,0,UNKNOWN VESSEL,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,UNKNOWN
211198140,2022-09-08 00:01:59.295537,2022-09-08 23:57:23.562205,454,0,0,SARAH-MEE 3,36.0,0.0,DA6687,6.0,6.0,1.0,3.0,0.0,UNKNOWN
212179000,2022-09-08 04:33:31.189122,2022-09-08 07:35:20.949190,780,0,0,SWE-TRADER,0.0,9194074.0,5BWR3,85.0,14.0,7.0,7.0,6.0,EEKND
212209000,2022-09-08 11:17:00.455882,2022-09-08 14:26:10.855918,539,2,0,CEMSEA III,0.0,9195925.0,5BZA3,81.0,14.0,3.0,10.0,6.4,FILOV
212376000,2022-09-08 08:59:41.935561,2022-09-08 11:47:12.335758,344,0,0,MARTEN,0.0,9617337.0,5BNU3,78.0,12.0,8.0,5.0,6.0,DKHUN
212521000,2022-09-08 00:08:14.495649,2022-09-08 01:55:05.109274,208,1,0,NORRLAND,0.0,9358278.0,C4KF2,103.0,16.0,8.0,7.0,6.7,BRAKE
215295000,2022-09-08 14:18:55.136226,2022-09-08 16:50:34.762911,313,1,0,POLES,0.0,9254989.0,9HJH7,168.0,22.0,15.0,17.0,12.2,MT MLA
218057000,2022-09-08 09:09:10.256070,2022-09-08 10:51:50.508248,233,1,0,SEASPRAT,0.0,9380477.0,DDSJ,164.0,24.0,16.0,16.0,9.8,FR AMS
219170000,2022-09-08 15:07:06.121689,2022-09-08 17:23:30.042350,768,0,0,VAGA MAERSK,0.0,9778545.0,OWAO2,161.0,39.0,18.0,18.0,10.3,FIKTK > DEWVN
219814000,2022-09-08 00:04:45.749210,2022-09-08 02:15:46.122580,622,0,0,TERN SEA,0.0,9747974.0,OYBD2,120.0,27.0,4.0,18.0,7.3,SE GOT
229038000,2022-09-08 16:38:05.029200,2022-09-08 19:36:35.295889,801,0,0,MARETA,0.0,9537927.0,9HA3013,208.0,41.0,18.0,27.0,14.1,GEDSER DK
229137000,2022-09-08 15:19:06.095403,2022-09-08 16:47:06.068899,220,0,0,KARITA,0.0,9436783.0,9HA5452,107.0,0.0,0.0,16.0,5.5,SWINOUSCIJE
229998000,2022-09-08 19:32:00.735704,2022-09-08 22:18:50.762378,571,1,0,IPEK S,0.0,9499541.0,9HA3784,100.0,22.0,5.0,11.0,5.5,EESLM
230035000,2022-09-08 21:23:36.869177,2022-09-08 23:35:45.669117,3,1,1,UNKNOWN VESSEL,0.0,0.0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,UNKNOWN
230036540,2022-09-08 00:00:28.177158,2022-09-08 23:58:06.204540,479,3,1,DEEPEXPLORER,34.0,0.0,OJ9537,0.0,0.0,0.0,0.0,0.0,UNKNOWN
230042750,2022-09-08 10:49:45.644147,2022-09-08 23:58:52.017525,499,1,0,AQUARIUS,36.0,0.0,OH2008,12.0,1.0,1.0,3.0,0.0,UNKNOWN
230172000,2022-09-08 04:56:04.389332,2022-09-08 17:21:05.722707,398,2,0,AMORELLA,0.0,8601915.0,OIWS,44.0,127.0,14.0,14.0,6.3,HEL - MAR - STO
230368000,2022-09-08 12:20:44.976027,2022-09-08 13:28:15.775801,320,0,0,FINNMASTER,0.0,9132014.0,OJHU,29.0,127.0,13.0,9.0,6.5,"HULL,UK"
230628000,2022-09-08 00:01:46.229396,2022-09-08 23:57:32.842784,7177,4,0,FINLANDIA,0.0,9214379.0,OJPP,45.0,130.0,20.0,7.0,7.0,FIHEL-EETLL-FIHEL
230632000,2022-09-08 08:08:44.815856,2022-09-08 10:32:43.082338,1157,0,0,FINNWAVE,0.0,9468932.0,OJPT,14.0,204.0,7.0,20.0,5.8,HELSINKI
230665000,2022-09-08 00:00:49.375669,2022-09-08 23:57:26.629019,493,0,0,SILVERFORS,30.0,8322765.0,OJRS,29.0,12.0,6.0,4.0,5.0,MIIDURANNA.
230673000,2022-09-08 00:02:54.175802,2022-09-08 23:57:28.735909,1970,1,0,PRIMA QUEEN,0.0,9194282.0,OJSH,73.0,15.0,2.0,11.0,5.8,MUUGA
230685000,2022-09-08 00:03:55.509418,2022-09-08 23:50:50.629423,2764,3,0,FINBO CARGO,0.0,9181106.0,OJST,25.0,155.0,7.0,17.0,6.5,FIVSS<->EEMUU
230688000,2022-09-08 23:41:01.136064,2022-09-08 23:59:56.789337,62,0,0,JATULI,0.0,9892444.0,OJTF,203.0,47.0,18.0,26.0,10.9,NOKAR>FISKV
230689000,2022-09-08 00:05:01.829506,2022-09-08 04:06:51.829065,1097,0,0,UIKKU,0.0,9797814.0,OJTI,126.0,30.0,11.0,13.0,6.7,NLRTM>FISKV
230695000,2022-09-08 17:05:49.989064,2022-09-08 23:56:45.988864,1173,2,0,PRIMA KING,0.0,9195822.0,OJUC,80.0,9.0,8.0,5.0,6.7,EEMUG
