mmsi,shipname,ship_type,score,min_dist_km,loiter_minutes,had_gap_near_spill,in_drift_zone,evidence
230036540,DEEPEXPLORER,34.0,0.8119,6.544,623.5,True,False,6.5 km from spill at closest approach; 624 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276010590,KLAARA,37.0,0.7643,10.084,687.0,True,False,10.1 km from spill at closest approach; 687 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276010860,ANGEL ROSE VKB-122,37.0,0.761,10.261,687.0,True,False,10.3 km from spill at closest approach; 687 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276007520,DEJA VU,36.0,0.7401,11.128,670.8,True,False,11.1 km from spill at closest approach; 671 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276012310,EHE,37.0,0.7386,9.344,551.0,True,False,9.3 km from spill at closest approach; 551 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276012370,SILEGNA,37.0,0.7278,11.944,681.0,True,False,11.9 km from spill at closest approach; 681 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276866000,KRAFT,0.0,0.7246,12.16,684.0,True,False,12.2 km from spill at closest approach; 684 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276784000,AHTO-01,0.0,0.7236,12.122,678.0,True,False,12.1 km from spill at closest approach; 678 min loitering (<3kt) nearby; AIS signal gap ending near spill time
636092297,JOHANN,0.0,0.7117,12.622,669.1,True,False,12.6 km from spill at closest approach; 669 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276012100,SIRET,37.0,0.6953,13.729,684.0,True,False,13.7 km from spill at closest approach; 684 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276005280,AHTO-14,0.0,0.675,0.625,689.8,False,False,0.6 km from spill at closest approach; 690 min loitering (<3kt) nearby
276813000,VIKING XPRS,0.0,0.6587,1.448,686.6,False,False,1.4 km from spill at closest approach; 687 min loitering (<3kt) nearby
276415000,EVA-316,0.0,0.6568,1.552,686.9,False,False,1.6 km from spill at closest approach; 687 min loitering (<3kt) nearby
276645000,AHTO-24,0.0,0.6386,2.574,689.8,False,False,2.6 km from spill at closest approach; 690 min loitering (<3kt) nearby
276702000,AHTO-26,0.0,0.6376,2.628,689.8,False,False,2.6 km from spill at closest approach; 690 min loitering (<3kt) nearby
276829000,MEGASTAR,0.0,0.6374,1.502,616.5,False,False,1.5 km from spill at closest approach; 616 min loitering (<3kt) nearby
276853000,RANDI,0.0,0.6372,0.91,577.9,False,False,0.9 km from spill at closest approach; 578 min loitering (<3kt) nearby
276002220,M-41,0.0,0.6351,11.372,324.3,True,False,11.4 km from spill at closest approach; 324 min loitering (<3kt) nearby; AIS signal gap ending near spill time
230628000,FINLANDIA,0.0,0.6241,1.09,544.3,False,False,1.1 km from spill at closest approach; 544 min loitering (<3kt) nearby
276785000,KOTKAS,0.0,0.5808,5.669,689.8,False,False,5.7 km from spill at closest approach; 690 min loitering (<3kt) nearby
538007812,JADE BLOSSOM,0.0,0.5776,5.797,687.0,False,False,5.8 km from spill at closest approach; 687 min loitering (<3kt) nearby
276636000,ARKTURUS,0.0,0.5769,5.879,689.9,False,False,5.9 km from spill at closest approach; 690 min loitering (<3kt) nearby
276538000,LOTOS,0.0,0.5711,6.192,689.8,False,False,6.2 km from spill at closest approach; 690 min loitering (<3kt) nearby
276001840,SUNRAY,0.0,0.562,6.678,689.8,False,False,6.7 km from spill at closest approach; 690 min loitering (<3kt) nearby
276841000,HIIESAARE,0.0,0.5614,6.711,689.8,False,False,6.7 km from spill at closest approach; 690 min loitering (<3kt) nearby
269108230,NASHIRA,37.0,0.5549,12.863,143.9,True,False,12.9 km from spill at closest approach; 144 min loitering (<3kt) nearby; AIS signal gap ending near spill time
276798000,JAKOB PREI,0.0,0.5386,4.751,484.9,False,False,4.8 km from spill at closest approach; 485 min loitering (<3kt) nearby
