mmsi,shipname,ship_type,score,min_dist_km,loiter_minutes,had_gap_near_spill,in_drift_zone,evidence
230036540,DEEPEXPLORER,34.0,0.8589,6.544,623.5,True,True,6.5 km from spill at closest approach; 624 min loitering (<3kt) nearby; AIS signal gap ending near spill time; track intersects drift/source zone
276005280,AHTO-14,0.0,0.7562,0.625,689.8,False,True,0.6 km from spill at closest approach; 690 min loitering (<3kt) nearby; track intersects drift/source zone
276813000,VIKING XPRS,0.0,0.744,1.448,686.6,False,True,1.4 km from spill at closest approach; 687 min loitering (<3kt) nearby; track intersects drift/source zone
276415000,EVA-316,0.0,0.7426,1.552,686.9,False,True,1.6 km from spill at closest approach; 687 min loitering (<3kt) nearby; track intersects drift/source zone
276645000,AHTO-24,0.0,0.7289,2.574,689.8,False,True,2.6 km from spill at closest approach; 690 min loitering (<3kt) nearby; track intersects drift/source zone
276702000,AHTO-26,0.0,0.7282,2.628,689.8,False,True,2.6 km from spill at closest approach; 690 min loitering (<3kt) nearby; track intersects drift/source zone
276829000,MEGASTAR,0.0,0.728,1.502,616.5,False,True,1.5 km from spill at closest approach; 616 min loitering (<3kt) nearby; track intersects drift/source zone
276853000,RANDI,0.0,0.7279,0.91,577.9,False,True,0.9 km from spill at closest approach; 578 min loitering (<3kt) nearby; track intersects drift/source zone
230628000,FINLANDIA,0.0,0.7181,1.09,544.3,False,True,1.1 km from spill at closest approach; 544 min loitering (<3kt) nearby; track intersects drift/source zone
276785000,KOTKAS,0.0,0.6856,5.669,689.8,False,True,5.7 km from spill at closest approach; 690 min loitering (<3kt) nearby; track intersects drift/source zone
538007812,JADE BLOSSOM,0.0,0.6832,5.797,687.0,False,True,5.8 km from spill at closest approach; 687 min loitering (<3kt) nearby; track intersects drift/source zone
276636000,ARKTURUS,0.0,0.6827,5.879,689.9,False,True,5.9 km from spill at closest approach; 690 min loitering (<3kt) nearby; track intersects drift/source zone
276798000,JAKOB PREI,0.0,0.6539,4.751,484.9,False,True,4.8 km from spill at closest approach; 485 min loitering (<3kt) nearby; track intersects drift/source zone
538007673,SEVEN SEAS SPLENDOR,0.0,0.6525,4.975,492.7,False,True,5.0 km from spill at closest approach; 493 min loitering (<3kt) nearby; track intersects drift/source zone
636021515,ABERLOUR,0.0,0.6491,8.173,683.1,False,True,8.2 km from spill at closest approach; 683 min loitering (<3kt) nearby; track intersects drift/source zone
